service;name;description;access_level;resource_type_name;resource_type_name_append_wildcard;resource_arn_format
a4b;approveskill;Associates a skill with the organization under the customer's AWS account. If a skill  is private, the user implicitly accepts access to this skill during enablement.;Write;None;False;*
a4b;associatecontactwithaddressbook;Associates a contact with a given address book.;Write;addressbook;True;arn:${Partition}:a4b:${Region}:${Account}:address-book/${Resource_id}
a4b;associatecontactwithaddressbook;Associates a contact with a given address book.;Write;contact;True;arn:${Partition}:a4b:${Region}:${Account}:contact/${Resource_id}
a4b;associatedevicewithroom;Associates device with given room.;Write;device;True;arn:${Partition}:a4b:${Region}:${Account}:device/${Resource_id}
a4b;associatedevicewithroom;Associates device with given room.;Write;room;True;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;associateskillgroupwithroom;Associates the skill group with given room. SkillGroup ARN and Room ARN must be specified.;Write;room;True;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id}
a4b;associateskillgroupwithroom;Associates the skill group with given room. SkillGroup ARN and Room ARN must be specified.;Write;skillgroup;True;arn:${Partition}:a4b:${Region}:${Account}:skill-group/${Resource_id}
a4b;associateskillwithskillgroup;Associates a skill with a skill group.;Write;skillgroup;True;arn:${Partition}:a4b:${Region}:${Account}:skill-group/${Resource_id}
a4b;associateskillwithusers;Makes a private skill available for enrolled users to enable on their devices.;Write;None;False;*
a4b;completeregistration;Completes the operation of registering an Alexa device.;Write;None;False;*
a4b;createaddressbook;Creates an address book with the specified details.;Write;None;False;*
a4b;createbusinessreportschedule;Creates a recurring schedule for usage reports to deliver to the specified S3 location  with a specified daily or weekly interval.;Write;None;False;*
a4b;createconferenceprovider;Adds a new conference provider under the user's AWS account.;Write;None;False;*
a4b;createcontact;Creates a contact with the specified details.;Write;None;False;*
a4b;createprofile;Creates a new profile.;Write;None;False;*
a4b;createroom;Create room with the specified details.;Write;profile;True;arn:${Partition}:a4b:${Region}:${Account}:profile/${Resource_id}
a4b;createskillgroup;Creates a skill group with given name and description.;Write;None;False;*
a4b;createuser;Creates a user.;Write;user;True;arn:${Partition}:a4b:${Region}:${Account}:user/${Resource_id}
a4b;deleteaddressbook;Deletes an address book by the address book ARN.;Write;addressbook;True;arn:${Partition}:a4b:${Region}:${Account}:address-book/${Resource_id}
a4b;deletebusinessreportschedule;Deletes the recurring report delivery schedule with the specified schedule ARN.;Write;schedule;True;arn:${Partition}:a4b:${Region}:${Account}:schedule/${Resource_id}
