resource_type_name;raw_arn;originating_service;arn;partition;service;region;account;resource_path;condition_keys
profile;arn:${Partition}:a4b:${Region}:${Account}:profile/${Resource_id};a4b;arn;${Partition};a4b;${Region};${Account};${Resource_id};
room;arn:${Partition}:a4b:${Region}:${Account}:room/${Resource_id};a4b;arn;${Partition};a4b;${Region};${Account};${Resource_id};aws:ResourceTag/${TagKey}
device;arn:${Partition}:a4b:${Region}:${Account}:device/${Resource_id};a4b;arn;${Partition};a4b;${Region};${Account};${Resource_id};aws:ResourceTag/${TagKey}
skillgroup;arn:${Partition}:a4b:${Region}:${Account}:skill-group/${Resource_id};a4b;arn;${Partition};a4b;${Region};${Account};${Resource_id};
user;arn:${Partition}:a4b:${Region}:${Account}:user/${Resource_id};a4b;arn;${Partition};a4b;${Region};${Account};${Resource_id};aws:ResourceTag/${TagKey}
addressbook;arn:${Partition}:a4b:${Region}:${Account}:address-book/${Resource_id};a4b;arn;${Partition};a4b;${Region};${Account};${Resource_id};
conferenceprovider;arn:${Partition}:a4b:${Region}:${Account}:conference-provider/${Resource_id};a4b;arn;${Partition};a4b;${Region};${Account};${Resource_id};
contact;arn:${Partition}:a4b:${Region}:${Account}:contact/${Resource_id};a4b;arn;${Partition};a4b;${Region};${Account};${Resource_id};
schedule;arn:${Partition}:a4b:${Region}:${Account}:schedule/${Resource_id};a4b;arn;${Partition};a4b;${Region};${Account};${Resource_id};
networkprofile;arn:${Partition}:a4b:${Region}:${Account}:network-profile/${Resource_id};a4b;arn;${Partition};a4b;${Region};${Account};${Resource_id};
Analyzer;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName};access-analyzer;arn;${Partition};access-analyzer;${Region};${Account};${analyzerName};aws:ResourceTag/${TagKey}
ArchiveRule;arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${analyzerName}/archive-rule/${ruleName};access-analyzer;arn;${Partition};access-analyzer;${Region};${Account};${analyzerName}/archive-rule/${ruleName};
certificate;arn:${Partition}:acm:${Region}:${Account}:certificate/${CertificateId};acm;arn;${Partition};acm;${Region};${Account};${CertificateId};aws:ResourceTag/${TagKey}
certificate-authority;arn:${Partition}:acm-pca:${Region}:${Account}:certificate-authority/${CertificateAuthorityId};acm-pca;arn;${Partition};acm-pca;${Region};${Account};${CertificateAuthorityId};aws:ResourceTag/${TagKey}
apps;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId};amplify;arn;${Partition};amplify;${Region};${Account};${AppId};aws:ResourceTag/${TagKey}
branches;arn:${Partition}:amplify:${Region}:${Account}:apps/${AppId}/branches/${BranchName};amplify;arn;${Partition};amplify;${Region};${Account};${AppId}/branches/${BranchName};aws:ResourceTag/${TagKey}
