service;condition_key_name;condition_key_service;description;condition_value_type
a4b;a4b:amazonId;a4b;Filters actions based on the Amazon Id in the request;string
a4b;a4b:filters_deviceType;a4b;Filters actions based on the device type in the request;string
a4b;aws:RequestTag/${TagKey};aws;Filters actions based on the allowed set of values for each of the tags;string
a4b;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value assoicated with the resource;string
a4b;aws:TagKeys;aws;Filters actions based on the presence of mandatory tags in the request;string
access-analyzer;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
access-analyzer;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
access-analyzer;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
account;account:TargetRegion;account;Filters access by a list of regions;string
acm;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
acm;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
acm;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
acm-pca;acm-pca:TemplateArn;acm-pca;Filters issue certificate requests based on the presence of TemplateArn in the request.;string
acm-pca;aws:RequestTag/${TagKey};aws;Filters create requests based on the allowed set of values for each of the tags.;string
acm-pca;aws:ResourceTag/${TagKey};aws;Filters actions based on tag-value associated with the resource.;string
acm-pca;aws:TagKeys;aws;Filters create requests based on the presence of mandatory tags in the request.;string
amplify;aws:RequestTag/${TagKey};aws;None;string
amplify;aws:ResourceTag/${TagKey};aws;None;string
amplify;aws:TagKeys;aws;None;string
apigateway;aws:RequestTag/${TagKey};aws;None;string
apigateway;aws:ResourceTag/${TagKey};aws;None;string
apigateway;aws:TagKeys;aws;None;string
appmesh;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request.;string
appmesh;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource.;string
appmesh;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request.;string
appstream;appstream:userId;appstream;Filters access by the ID of the AppStream 2.0 user;string
appstream;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
appstream;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
appstream;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
appsync;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
appsync;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
appsync;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
athena;aws:RequestTag/${TagKey};aws;Filters actions based on the presence of tag key-value pairs in the request;string
athena;aws:ResourceTag/${TagKey};aws;Filters actions based on tag key-value pairs attached to the resource;string
athena;aws:TagKeys;aws;Filters actions based on the presence of tag keys in the request;string
autoscaling;autoscaling:ImageId;autoscaling;The AMI used to create the instance.;string
autoscaling;autoscaling:InstanceType;autoscaling;The type of instance, in terms of the hardware resources available.;string
autoscaling;autoscaling:InstanceTypes;autoscaling;The types of instances, in terms of the hardware resources available.;string
